st_abbrev,fips,population,income,hispanic,asian,black,white,foreign,college,density,vets,female,senior,children,st_cnty,state,winner,votes,fraction_votes,total_votes,voter_turnout
NC,37069,62860,41696,8.0,0.6,26.8,63.5,4.6,17.1,123.3,4275,50.4,15.2,23.0,NC_Franklin,North Carolina,Hillary Clinton,4951,0.594,7809,0.16133564176834939
NC,37071,211127,42017,6.4,1.4,16.1,74.6,5.0,18.0,578.8,15458,51.6,15.1,23.1,NC_Gaston,North Carolina,Hillary Clinton,7697,0.541,13435,0.08274991461237412
NC,37073,11567,46592,2.0,0.2,33.2,62.3,1.0,11.6,35.8,1129,51.2,17.8,21.6,NC_Gates,North Carolina,Hillary Clinton,749,0.617,1105,0.1218499849148616
NC,37077,58500,49852,7.6,0.7,32.1,58.5,4.0,16.4,112.7,4877,49.0,15.3,21.3,NC_Granville,North Carolina,Hillary Clinton,4693,0.588,7408,0.16090530957112914
NC,37079,21093,40853,14.7,0.5,36.6,47.7,8.2,11.6,80.3,1485,45.8,14.8,21.5,NC_Greene,North Carolina,Hillary Clinton,1643,0.5870000000000001,2465,0.1488705915960286
NC,37081,512119,45431,7.6,4.6,34.0,52.3,9.7,33.2,756.4,31377,52.5,13.8,22.8,NC_Guilford,North Carolina,Hillary Clinton,37880,0.56,66084,0.16715067449055795
NC,37083,52970,32329,2.7,0.8,53.2,39.1,1.7,11.8,75.5,3537,52.2,18.3,21.9,NC_Halifax,North Carolina,Hillary Clinton,6224,0.667,8537,0.2063594086184604
NC,37085,126666,44625,11.9,1.3,21.5,62.7,5.6,18.5,192.7,11155,50.5,11.2,27.2,NC_Harnett,North Carolina,Hillary Clinton,4655,0.551,7766,0.08421819918196215
NC,37087,59471,41557,3.7,0.5,1.2,93.2,2.6,23.1,106.6,6138,51.9,23.7,18.4,NC_Haywood,North Carolina,Bernie Sanders,3873,0.46,7621,0.15704226907759625
NC,37089,111149,44815,9.9,1.1,3.4,83.9,7.7,27.7,286.1,11432,51.7,24.5,19.7,NC_Henderson,North Carolina,Bernie Sanders,5129,0.501,9940,0.11136924600118583
